fact,explanation,reachability,fidelity,uncertainty,gen_time
"[2, 0, 27, 1, 30, 5, 10, 0, 15, 5, 30, 2, 0, 0, 2, 0, 30, 5, 10, 0, 15, 0, 30, 4, 11, 0, 15, 2, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 11, 0, 21, 0, 30, 8, 0, 0, 8, 1, 30, 8, 13, 0, 21, 0, 30, 10, 11, 0, 21, 1, 30, 10, 0, 0, 10, 1, -15, 3, 1]",1.0,0.7602284943482125,1.0,121.16797590255737
"[2, 0, 37, 1, 30, 7, 4, 0, 11, 6, 30, 8, 0, 0, 8, 0, 30, 4, 7, 0, 11, 6, 30, 3, 8, 0, 11, 9, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 3, 8, 0, 11, 0, 30, 6, 0, 0, 6, 1, 30, 6, 5, 0, 11, 0, 30, 3, 8, 0, 11, 0, 30, 4, 3, 0, 7, 1, -15, 3, 1]",1.0,0.7923924589599795,1.0,130.4987587928772
"[2, 1, 20, 0, 30, 1, 7, 0, 8, 0, 30, 8, 0, 0, 8, 3, 30, 8, 0, 0, 8, 0, 30, 1, 7, 0, 8, 1, 30, 3, 2, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 5, 0, 15, 1, 30, 6, 0, 0, 6, 1, 30, 0, 15, 0, 15, 0, 30, 7, 8, 0, 15, 0, 30, 5, 4, 0, 9, 1, -15, 3, 1]",1.0,0.7658835430077257,1.0,120.24806571006775
"[2, 2, 39, 0, 30, 1, 10, 0, 11, 5, 30, 6, 0, 0, 6, 0, 30, 4, 7, 0, 11, 0, 30, 2, 9, 0, 11, 6, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 1, 10, 0, 11, 0, 30, 6, 0, 0, 6, 1, 30, 9, 2, 0, 11, 0, 30, 2, 9, 0, 11, 0, 30, 2, 5, 0, 7, 1, -15, 3, 1]",1.0,0.8241161143495299,1.0,124.56696653366089
"[2, 4, 15, 0, 30, 5, 8, 0, 13, 2, 30, 5, 1, 0, 6, 0, 30, 3, 10, 0, 13, 1, 30, 4, 9, 0, 13, 4, 30, 9, 0, 0, 9, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 15, 0, 19, 0, 30, 6, 0, 0, 6, 1, 30, 7, 12, 0, 19, 0, 30, 9, 10, 0, 19, 0, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.926208594026542,1.0,120.57283616065979
"[2, 2, 40, 0, 30, 3, 6, 0, 9, 4, 30, 2, 0, 0, 2, 1, 30, 2, 7, 0, 9, 0, 30, 6, 3, 0, 9, 3, 30, 3, 0, 0, 3, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 6, 16, 0, 22, 0, 30, 3, 1, 0, 4, 2, 30, 11, 11, 0, 22, 0, 30, 8, 14, 0, 22, 0, 30, 10, 0, 0, 10, 1, -15, 3, 1]",1.0,0.8739577524830853,1.0,125.55450510978699
"[2, 1, 14, 0, 30, 8, 1, 0, 9, 1, 30, 6, 0, 0, 6, 0, 30, 2, 7, 0, 9, 0, 30, 8, 1, 0, 9, 4, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 12, 2, 0, 14, 0, 30, 6, 0, 0, 6, 1, 30, 8, 6, 0, 14, 0, 30, 10, 4, 0, 14, 2, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.7699732845795251,1.0,126.26377153396606
"[2, 3, 25, 2, 30, 6, 8, 0, 14, 1, 30, 6, 0, 0, 6, 0, 30, 9, 5, 0, 14, 1, 30, 5, 9, 0, 14, 3, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 3, 9, 0, 12, 0, 30, 6, 0, 0, 6, 1, 30, 6, 6, 0, 12, 0, 30, 1, 11, 0, 12, 0, 30, 4, 2, 0, 6, 1, -15, 3, 1]",1.0,0.8327876138234999,1.0,122.41663765907288
"[2, 4, 11, 1, 30, 3, 9, 0, 12, 0, 30, 4, 0, 0, 4, 0, 30, 9, 3, 0, 12, 7, 30, 5, 7, 0, 12, 6, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 7, 3, 0, 10, 3, 30, 2, 0, 0, 2, 1, 30, 4, 6, 0, 10, 8, 30, 6, 4, 0, 10, 6, 30, 6, 0, 0, 6, 0, -27, 3, 0]",1.0,0.58280635372521,1.0,127.7817497253418
"[2, 2, 16, 0, 30, 5, 4, 0, 9, 4, 30, 8, 0, 0, 8, 0, 30, 2, 7, 0, 9, 0, 30, 1, 8, 0, 9, 0, 30, 3, 1, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 7, 3, 0, 10, 0, 30, 2, 0, 0, 2, 1, 30, 4, 6, 0, 10, 10, 30, 8, 2, 0, 10, 6, 30, 6, 0, 0, 6, 0, -27, 3, 0]",1.0,0.6580199125268826,1.0,129.057226896286
"[2, 2, 25, 2, 30, 6, 8, 0, 14, 4, 30, 6, 0, 0, 6, 0, 30, 5, 9, 0, 14, 1, 30, 6, 8, 0, 14, 4, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 8, 0, 12, 0, 30, 6, 0, 0, 6, 1, 30, 10, 2, 0, 12, 0, 30, 1, 11, 0, 12, 0, 30, 4, 2, 0, 6, 1, -15, 3, 1]",1.0,0.7843561384042281,1.0,121.20237588882446
"[2, 1, 5, 1, 30, 5, 7, 0, 12, 2, 30, 7, 3, 0, 10, 0, 30, 4, 8, 0, 12, 0, 30, 7, 5, 0, 12, 1, 30, 3, 3, 0, 6, 0, -27, 3, 0]","[2, 4, 1, 0, 30, 7, 3, 0, 10, 2, 30, 2, 0, 0, 2, 1, 30, 4, 6, 0, 10, 7, 30, 7, 3, 0, 10, 2, 30, 6, 0, 0, 6, 0, -27, 3, 0]",1.0,0.6175581122173204,1.0,129.9930191040039
"[2, 0, 16, 0, 30, 6, 3, 0, 9, 4, 30, 8, 0, 0, 8, 3, 30, 2, 7, 0, 9, 0, 30, 1, 8, 0, 9, 1, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 7, 12, 0, 19, 1, 30, 6, 0, 0, 6, 1, 30, 7, 12, 0, 19, 0, 30, 8, 11, 0, 19, 0, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.8053988827520879,1.0,124.67784476280212
