fact id,fact,explanation,recourse,uncertainty,fidelity,sparsity,exceptionality,validity,gen_time,found
40,"[2, 0, 27, 1, 30, 4, 11, 0, 15, 3, 30, 2, 0, 0, 2, 0, 30, 8, 7, 0, 15, 2, 30, 6, 9, 0, 15, 3, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[0, 2, 32, 2, 30, 4, 10, 0, 13, 2, 30, 8, 5, 0, 0, 9, 30, 10, 1, 0, 12, 6, 30, 10, 5, 0, 5, 4, 30, 7, 4, 0, 6, 1, -15, 3, 1]",,1,1,1,1,1,911.164134979248,0
40,"[2, 0, 27, 1, 30, 4, 11, 0, 15, 3, 30, 2, 0, 0, 2, 0, 30, 8, 7, 0, 15, 2, 30, 6, 9, 0, 15, 3, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, -1, 5, 0, 30, 2, 14, 0, 8, 13, 30, 6, 3, 0, 8, 0, 30, 1, 5, 0, 11, 13, 30, 9, 8, 0, 7, 5, 30, 5, 1, 0, 4, 1, -15, 3, 0]",,1,1,1,1,1,911.164134979248,0
40,"[2, 0, 27, 1, 30, 4, 11, 0, 15, 3, 30, 2, 0, 0, 2, 0, 30, 8, 7, 0, 15, 2, 30, 6, 9, 0, 15, 3, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[0, 0, 23, 1, 30, 3, 4, 0, 12, 6, 30, 10, 1, 0, 10, 10, 30, 0, 7, 0, 5, 3, 30, 2, 11, 0, 15, 3, 30, 8, 2, 0, 9, 0, -27, 3, 1]",,1,1,1,1,1,911.164134979248,0
40,"[2, 0, 27, 1, 30, 4, 11, 0, 15, 3, 30, 2, 0, 0, 2, 0, 30, 8, 7, 0, 15, 2, 30, 6, 9, 0, 15, 3, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 3, 38, 4, 30, 0, 13, 0, 9, 14, 30, 2, 4, 0, 2, 6, 30, 13, 8, 0, 7, 10, 30, 11, 9, 0, 9, 13, 30, 2, 3, 0, 0, 0, -27, 3, 0]",,1,1,1,1,1,911.164134979248,0
41,"[2, 1, 13, 3, 30, 6, 1, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 6, 1, 0, 7, 7, 30, 7, 0, 0, 7, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[0, 0, 11, 2, 30, 2, 4, 0, 9, 8, 30, 7, 5, 0, 8, 4, 30, 4, 9, 0, 5, 0, 30, 9, 8, 0, 13, 7, 30, 3, 5, 0, 2, 1, -15, 3, 0]",,1,1,1,1,1,912.0378620624542,0
41,"[2, 1, 13, 3, 30, 6, 1, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 6, 1, 0, 7, 7, 30, 7, 0, 0, 7, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[0, 1, 38, 3, 30, 11, 0, 0, 2, 11, 30, 12, 2, 0, 6, 3, 30, 1, 7, 0, 4, 6, 30, 6, 3, 0, 4, 6, 30, 7, 2, 0, 6, 0, -27, 3, 0]",,1,1,1,1,1,912.0378620624542,0
41,"[2, 1, 13, 3, 30, 6, 1, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 6, 1, 0, 7, 7, 30, 7, 0, 0, 7, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 20, 1, 30, 3, 14, 0, 13, 10, 30, 5, 3, 0, 4, 1, 30, 2, 6, 0, 15, 5, 30, 8, 14, 0, 3, 11, 30, 2, 5, 0, 9, 0, -27, 3, 1]",,1,1,1,1,1,912.0378620624542,0
41,"[2, 1, 13, 3, 30, 6, 1, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 6, 1, 0, 7, 7, 30, 7, 0, 0, 7, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 4, 39, 7, 30, 7, 5, 0, 15, 2, 30, 6, 1, 0, 2, 9, 30, 12, 5, 0, 9, 2, 30, 3, 12, 0, 11, 8, 30, 9, 3, 0, 5, 0, -15, 3, 1]",,1,1,1,1,1,912.0378620624542,0
41,"[2, 1, 13, 3, 30, 6, 1, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 6, 1, 0, 7, 7, 30, 7, 0, 0, 7, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 3, 16, 5, 30, 6, 2, 0, 14, 4, 30, 9, 0, 0, 0, 6, 30, 11, 11, 0, 2, 10, 30, 10, 9, 0, 7, 12, 30, 4, 0, 0, 7, 1, -15, 3, 0]",,1,1,1,1,1,912.0378620624542,0
42,"[2, 3, 23, 0, 30, 3, 2, 0, 5, 2, 30, 4, 0, 0, 4, 10, 30, 5, 0, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 1, 1, 0, 2, 1, -15, 3, 1]","[0, 1, 6, 3, 30, 7, 12, 0, 2, 14, 30, 6, 0, 0, 8, 11, 30, 3, 13, 0, 15, 3, 30, 1, 12, 0, 11, 9, 30, 4, 0, 0, 9, 0, -27, 3, 0]",,1,1,1,1,1,910.6434011459352,0
42,"[2, 3, 23, 0, 30, 3, 2, 0, 5, 2, 30, 4, 0, 0, 4, 10, 30, 5, 0, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 1, 1, 0, 2, 1, -15, 3, 1]","[2, 4, 35, 4, 30, 1, 5, 0, 14, 17, 30, 1, 2, 0, 12, 6, 30, 2, 6, 0, 15, 7, 30, 5, 9, 0, 11, 14, 30, 2, 1, 0, 1, 1, -27, 3, 1]",,1,1,1,1,1,910.6434011459352,0
42,"[2, 3, 23, 0, 30, 3, 2, 0, 5, 2, 30, 4, 0, 0, 4, 10, 30, 5, 0, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 1, 1, 0, 2, 1, -15, 3, 1]","[0, 0, 12, 2, 30, 6, 0, 0, 12, 12, 30, 0, 3, 0, 4, 3, 30, 13, 7, 0, 7, 9, 30, 11, 5, 0, 11, 14, 30, 9, 3, 0, 7, 1, -15, 3, 1]",,1,1,1,1,1,910.6434011459352,0
42,"[2, 3, 23, 0, 30, 3, 2, 0, 5, 2, 30, 4, 0, 0, 4, 10, 30, 5, 0, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 1, 1, 0, 2, 1, -15, 3, 1]","[2, 2, 7, 6, 30, 9, 8, 0, 4, 15, 30, 3, 5, 0, 10, 5, 30, 12, 10, 0, 5, 6, 30, 10, 7, 0, 10, 4, 30, 5, 4, 0, 3, 0, -27, 3, 0]",,1,1,1,1,1,910.6434011459352,0
42,"[2, 3, 23, 0, 30, 3, 2, 0, 5, 2, 30, 4, 0, 0, 4, 10, 30, 5, 0, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 1, 1, 0, 2, 1, -15, 3, 1]","[2, -1, 19, 4, 30, 10, 10, 0, 10, 8, 30, 9, 0, 0, 0, 9, 30, 7, 8, 0, 13, 5, 30, 2, 1, 0, 4, 1, 30, 3, 2, 0, 0, 1, -15, 3, 0]",,1,1,1,1,1,910.6434011459352,0
43,"[2, 1, 11, 0, 30, 4, 8, 0, 12, 1, 30, 4, 0, 0, 4, 0, 30, 7, 5, 0, 12, 4, 30, 5, 7, 0, 12, 5, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[0, 2, 19, 1, 30, 11, 0, 0, 13, 2, 30, 6, 5, 0, 12, 5, 30, 1, 13, 0, 9, 7, 30, 7, 11, 0, 11, 11, 30, 8, 4, 0, 9, 1, -27, 3, 0]",,1,1,1,1,1,909.045354127884,0
43,"[2, 1, 11, 0, 30, 4, 8, 0, 12, 1, 30, 4, 0, 0, 4, 0, 30, 7, 5, 0, 12, 4, 30, 5, 7, 0, 12, 5, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 3, 29, 6, 30, 10, 14, 0, 9, 15, 30, 2, 3, 0, 0, 12, 30, 7, 11, 0, 5, 6, 30, 10, 13, 0, 15, 14, 30, 5, 0, 0, 1, 0, -15, 3, 1]",,1,1,1,1,1,909.045354127884,0
43,"[2, 1, 11, 0, 30, 4, 8, 0, 12, 1, 30, 4, 0, 0, 4, 0, 30, 7, 5, 0, 12, 4, 30, 5, 7, 0, 12, 5, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[0, 4, 7, 0, 30, 6, 10, 0, 4, 12, 30, 9, 0, 0, 4, 8, 30, 0, 2, 0, 4, 13, 30, 3, 1, 0, 6, 5, 30, 6, 2, 0, 0, 0, -27, 3, 0]",,1,1,1,1,1,909.045354127884,0
43,"[2, 1, 11, 0, 30, 4, 8, 0, 12, 1, 30, 4, 0, 0, 4, 0, 30, 7, 5, 0, 12, 4, 30, 5, 7, 0, 12, 5, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 0, 17, 3, 30, 8, 13, 0, 2, 18, 30, 4, 4, 0, 10, 7, 30, 13, 3, 0, 8, 9, 30, 9, 2, 0, 14, 8, 30, 3, 1, 0, 8, 0, -15, 3, 0]",,1,1,1,1,1,909.045354127884,0
