fact,explanation,gen_time
"[2, 4, 21, 2, 30, 3, 0, 0, 3, 4, 30, 2, 0, 0, 2, 0, 30, 2, 1, 0, 3, 0, 30, 2, 1, 0, 3, 0, 30, 1, 0, 0, 1, 1, -15, 3, 1, 639]","[2, 2, 1, 2, 30, 3, 0, 0, 3, 4, 30, 2, 0, 0, 2, 0, 30, 2, 1, 0, 3, 0, 30, 2, 1, 0, 3, 0, 30, 1, 0, 0, 1, -15, 3, 1, 639, 39]",474.79412484169006
"[2, 4, 21, 1, 30, 3, 0, 0, 3, 5, 30, 2, 0, 0, 2, 0, 30, 2, 1, 0, 3, 2, 30, 0, 3, 0, 3, 0, 30, 1, 0, 0, 1, 1, -15, 3, 1, 639]","[2, 2, 1, 1, 30, 3, 0, 0, 3, 5, 30, 2, 0, 0, 2, 0, 30, 2, 1, 0, 3, 2, 30, 0, 3, 0, 3, 0, 30, 1, 0, 0, 1, -15, 3, 1, 639, 39]",475.27850127220154
"[2, 1, 13, 5, 30, 7, 0, 0, 7, 1, 30, 4, 0, 0, 4, 1, 30, 5, 2, 0, 7, 7, 30, 7, 0, 0, 7, 1, 30, 4, 0, 0, 4, 1, -15, 3, 1, 419]","[2, 2, 1, 5, 30, 7, 0, 0, 7, 1, 30, 4, 0, 0, 4, 1, 30, 5, 2, 0, 7, 7, 30, 7, 0, 0, 7, 1, 30, 4, 0, 0, 4, -15, 3, 1, 419, 39]",477.0698413848877
"[2, 0, 21, 4, 30, 10, 0, 0, 10, 5, 30, 6, 0, 0, 6, 1, 30, 3, 7, 0, 10, 5, 30, 5, 5, 0, 10, 0, 30, 3, 1, 0, 4, 1, -15, 3, 1, 659]","[2, 2, 1, 3, 30, 3, 0, 0, 3, 3, 30, 2, 0, 0, 2, 0, 30, 2, 1, 0, 3, 1, 30, 1, 2, 0, 3, 0, 30, 1, 0, 0, 1, -15, 3, 1, 639, 39]",472.22138690948486
"[2, 4, 20, 0, 30, 4, 4, 0, 8, 0, 30, 5, 3, 0, 8, 0, 30, 1, 7, 0, 8, 0, 30, 6, 2, 0, 8, 1, 30, 1, 4, 0, 5, 1, -15, 3, 1, 619]","[2, 2, 1, 0, 30, 4, 4, 0, 8, 0, 30, 5, 3, 0, 8, 0, 30, 1, 7, 0, 8, 0, 30, 6, 2, 0, 8, 0, 30, 1, 4, 0, 5, -15, 3, 1, 619, 39]",478.2535026073456
"[2, 1, 34, 0, 30, 9, 0, 0, 9, 0, 30, 6, 2, 0, 8, 0, 30, 0, 9, 0, 9, 4, 30, 5, 4, 0, 9, 2, 30, 6, 0, 0, 6, 1, -15, 3, 1, 1039]","[2, 2, 1, 0, 30, 9, 0, 0, 9, 0, 30, 6, 2, 0, 8, 0, 30, 0, 9, 0, 9, 4, 30, 5, 4, 0, 9, 2, 30, 6, 0, 0, 6, -15, 3, 1, 1039, 39]",477.56335067749023
"[2, 3, 25, 5, 30, 4, 0, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 1, 3, 0, 4, 0, 30, 4, 0, 0, 4, 0, 30, 0, 1, 0, 1, 1, -15, 3, 1, 759]","[2, 2, 1, 5, 30, 4, 0, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 1, 3, 0, 4, 0, 30, 4, 0, 0, 4, 0, 30, 0, 1, 0, 1, -15, 3, 1, 759, 39]",476.37350845336914
"[2, 4, 27, 4, 30, 5, 0, 0, 5, 0, 30, 0, 0, 0, 0, 0, 30, 1, 4, 0, 5, 0, 30, 3, 2, 0, 5, 0, 30, 1, 3, 0, 4, 1, -15, 3, 1, 819]","[2, 2, 1, 2, 30, 5, 0, 0, 5, 0, 30, 0, 0, 0, 0, 0, 30, 1, 4, 0, 5, 0, 30, 3, 2, 0, 5, 0, 30, 1, 3, 0, 4, -15, 3, 1, 819, 39]",472.06218242645264
"[2, 0, 31, 1, 30, 9, 3, 0, 12, 3, 30, 5, 3, 0, 8, 3, 30, 4, 8, 0, 12, 5, 30, 12, 0, 0, 12, 0, 30, 1, 5, 0, 6, 1, -15, 3, 1, 959]","[2, 2, 1, 1, 30, 2, 2, 0, 4, 0, 30, 4, 0, 0, 4, 0, 30, 1, 3, 0, 4, 3, 30, 4, 0, 0, 4, 0, 30, 0, 3, 0, 3, -15, 3, 1, 939, 39]",476.0353629589081
"[2, 3, 35, 5, 30, 13, 0, 0, 13, 7, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 0, 30, 4, 9, 0, 13, 4, 30, 4, 4, 0, 8, 1, -15, 3, 1, 1079]","[2, 2, 1, 5, 30, 13, 0, 0, 13, 7, 30, 2, 0, 0, 2, 1, 30, 2, 11, 0, 13, 0, 30, 4, 9, 0, 13, 4, 30, 4, 4, 0, 8, -15, 3, 1, 1079, 39]",477.8738360404968
"[2, 3, 25, 5, 30, 4, 0, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 1, 3, 0, 4, 4, 30, 4, 0, 0, 4, 0, 30, 0, 1, 0, 1, 1, -15, 3, 1, 759]","[2, 2, 1, 5, 30, 4, 0, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 1, 3, 0, 4, 4, 30, 4, 0, 0, 4, 0, 30, 0, 1, 0, 1, -15, 3, 1, 759, 39]",476.1773900985718
"[2, 2, 23, 1, 30, 6, 7, 0, 13, 2, 30, 6, 0, 0, 6, 0, 30, 3, 10, 0, 13, 9, 30, 13, 0, 0, 13, 0, 30, 4, 2, 0, 6, 1, -15, 3, 1, 719]","[2, 2, 1, 1, 30, 6, 7, 0, 13, 2, 30, 6, 0, 0, 6, 0, 30, 3, 10, 0, 13, 9, 30, 13, 0, 0, 13, 0, 30, 4, 2, 0, 6, -15, 3, 1, 719, 39]",473.81424260139465
"[2, 3, 9, 2, 30, 10, 1, 0, 11, 0, 30, 6, 0, 0, 6, 1, 30, 5, 6, 0, 11, 0, 30, 10, 1, 0, 11, 0, 30, 4, 0, 0, 4, 0, -27, 3, 0, 299]","[2, 2, 1, 0, 30, 10, 1, 0, 11, 0, 30, 6, 0, 0, 6, 1, 30, 5, 6, 0, 11, 0, 30, 10, 1, 0, 11, 0, 30, 4, 0, 0, 4, -27, 3, 0, 299, 39]",479.1578676700592
"[2, 0, 15, 1, 30, 4, 9, 0, 13, 9, 30, 5, 1, 0, 6, 0, 30, 3, 10, 0, 13, 1, 30, 10, 3, 0, 13, 1, 30, 2, 7, 0, 9, 1, -15, 3, 1, 479]","[2, 2, 1, 0, 30, 1, 3, 0, 4, 0, 30, 5, 1, 0, 6, 0, 30, 2, 2, 0, 4, 1, 30, 3, 1, 0, 4, 0, 30, 1, 3, 0, 4, -15, 3, 1, 459, 39]",473.199631690979
"[2, 4, 28, 0, 30, 7, 1, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 1, 7, 0, 8, 0, 30, 2, 6, 0, 8, 0, 30, 0, 4, 0, 4, 1, -15, 3, 1, 859]","[2, 2, 1, 0, 30, 7, 1, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 1, 7, 0, 8, 0, 30, 2, 6, 0, 8, 0, 30, 0, 4, 0, 4, -15, 3, 1, 859, 39]",477.44603419303894
"[2, 4, 13, 8, 30, 7, 0, 0, 7, 0, 30, 4, 0, 0, 4, 1, 30, 5, 2, 0, 7, 3, 30, 7, 0, 0, 7, 0, 30, 3, 1, 0, 4, 1, -15, 3, 1, 419]","[2, 2, 1, 8, 30, 7, 0, 0, 7, 0, 30, 4, 0, 0, 4, 1, 30, 5, 2, 0, 7, 1, 30, 7, 0, 0, 7, 0, 30, 3, 1, 0, 4, -15, 3, 1, 419, 39]",475.20195508003235
"[2, 4, 15, 0, 30, 2, 2, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 2, 2, 0, 4, 3, 30, 2, 2, 0, 4, 0, 30, 1, 3, 0, 4, 1, -15, 3, 1, 459]","[2, 2, 1, 0, 30, 2, 2, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 2, 2, 0, 4, 1, 30, 2, 2, 0, 4, 0, 30, 1, 3, 0, 4, -15, 3, 1, 459, 39]",475.38890409469604
"[2, 0, 5, 1, 30, 3, 9, 0, 12, 3, 30, 3, 7, 0, 10, 0, 30, 3, 9, 0, 12, 0, 30, 7, 5, 0, 12, 2, 30, 4, 2, 0, 6, 0, -27, 3, 0, 179]","[2, 2, 1, 0, 30, 0, 5, 0, 5, 0, 30, 0, 4, 0, 4, 0, 30, 0, 5, 0, 5, 0, 30, 1, 4, 0, 5, 0, 30, 0, 2, 0, 2, -27, 3, 0, 159, 39]",468.8777799606323
"[2, 4, 25, 5, 30, 4, 0, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 1, 3, 0, 4, 6, 30, 4, 0, 0, 4, 0, 30, 0, 1, 0, 1, 1, -15, 3, 1, 759]","[2, 2, 1, 3, 30, 4, 0, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 1, 3, 0, 4, 6, 30, 4, 0, 0, 4, 0, 30, 0, 1, 0, 1, -15, 3, 1, 759, 39]",478.411420583725
"[2, 1, 27, 6, 30, 5, 0, 0, 5, 3, 30, 0, 0, 0, 0, 0, 30, 1, 4, 0, 5, 1, 30, 4, 1, 0, 5, 0, 30, 1, 3, 0, 4, 1, -15, 3, 1, 819]","[2, 2, 1, 6, 30, 5, 0, 0, 5, 3, 30, 0, 0, 0, 0, 0, 30, 1, 4, 0, 5, 1, 30, 4, 1, 0, 5, 0, 30, 1, 3, 0, 4, -15, 3, 1, 819, 39]",473.6543073654175
"[2, 3, 34, 0, 30, 9, 0, 0, 9, 0, 30, 5, 3, 0, 8, 0, 30, 0, 9, 0, 9, 6, 30, 9, 0, 0, 9, 0, 30, 2, 4, 0, 6, 1, -15, 3, 1, 1039]","[2, 2, 1, 0, 30, 9, 0, 0, 9, 0, 30, 5, 3, 0, 8, 0, 30, 0, 9, 0, 9, 4, 30, 9, 0, 0, 9, 0, 30, 2, 4, 0, 6, -15, 3, 1, 1039, 39]",475.8664810657501
"[2, 3, 11, 5, 30, 8, 4, 0, 12, 0, 30, 4, 0, 0, 4, 0, 30, 1, 11, 0, 12, 3, 30, 12, 0, 0, 12, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1, 359]","[2, 2, 1, 5, 30, 8, 4, 0, 12, 0, 30, 4, 0, 0, 4, 0, 30, 1, 11, 0, 12, 3, 30, 12, 0, 0, 12, 1, 30, 4, 0, 0, 4, -15, 3, 1, 359, 39]",484.07466745376587
"[2, 3, 26, 6, 30, 9, 0, 0, 9, 0, 30, 2, 2, 0, 4, 2, 30, 0, 9, 0, 9, 0, 30, 7, 2, 0, 9, 2, 30, 1, 2, 0, 3, 1, -15, 3, 1, 799]","[2, 2, 1, 6, 30, 9, 0, 0, 9, 0, 30, 2, 2, 0, 4, 2, 30, 0, 9, 0, 9, 0, 30, 7, 2, 0, 9, 0, 30, 1, 2, 0, 3, -15, 3, 1, 799, 39]",491.26109170913696
"[2, 0, 13, 4, 30, 3, 0, 0, 3, 5, 30, 2, 0, 0, 2, 0, 30, 2, 1, 0, 3, 4, 30, 2, 1, 0, 3, 0, 30, 2, 0, 0, 2, 1, -15, 3, 1, 399]","[2, 2, 1, 2, 30, 7, 0, 0, 7, 1, 30, 3, 3, 0, 6, 0, 30, 1, 6, 0, 7, 1, 30, 6, 1, 0, 7, 1, 30, 2, 1, 0, 3, -15, 3, 1, 379, 39]",485.04980993270874
"[2, 0, 11, 0, 30, 2, 2, 0, 4, 6, 30, 0, 0, 0, 0, 0, 30, 0, 4, 0, 4, 0, 30, 3, 1, 0, 4, 4, 30, 1, 0, 0, 1, 1, -15, 3, 1, 339]","[2, 2, 1, 0, 30, 6, 3, 0, 9, 1, 30, 2, 2, 0, 4, 0, 30, 2, 7, 0, 9, 0, 30, 7, 2, 0, 9, 0, 30, 1, 4, 0, 5, -15, 3, 1, 319, 39]",487.671094417572
