0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2,1,1,0,30,7,3,0,10,4,30,2,0,0,2,1,30,4,6,0,10,8,30,10,0,0,10,6,30,6,0,0,6,0,-27,3,0
2,4,1,0,30,7,3,0,10,4,30,2,0,0,2,1,30,4,6,0,10,8,30,10,0,0,10,6,30,6,0,0,6,0,-27,3,0
2,0,5,0,30,1,4,0,5,3,30,2,2,0,4,0,30,0,5,0,5,0,30,1,4,0,5,0,30,0,2,0,2,0,-27,3,0
2,2,5,0,30,1,4,0,5,3,30,2,2,0,4,0,30,0,5,0,5,0,30,1,4,0,5,0,30,0,2,0,2,0,-27,3,0
2,4,7,0,30,2,2,0,4,2,30,2,0,0,2,0,30,1,3,0,4,0,30,1,3,0,4,2,30,1,1,0,2,0,-27,3,0
2,1,11,2,30,3,9,0,12,3,30,4,0,0,4,0,30,4,8,0,12,7,30,9,3,0,12,6,30,4,0,0,4,1,-15,3,1
2,1,13,3,30,7,0,0,7,0,30,4,0,0,4,2,30,6,1,0,7,6,30,5,2,0,7,3,30,4,0,0,4,1,-15,3,1
2,2,13,3,30,7,0,0,7,0,30,4,0,0,4,2,30,6,1,0,7,6,30,5,2,0,7,3,30,4,0,0,4,1,-15,3,1
2,3,13,3,30,7,0,0,7,0,30,4,0,0,4,2,30,6,1,0,7,6,30,5,2,0,7,3,30,4,0,0,4,1,-15,3,1
2,4,13,3,30,7,0,0,7,0,30,4,0,0,4,2,30,6,1,0,7,6,30,5,2,0,7,3,30,4,0,0,4,1,-15,3,1
2,1,19,0,30,5,8,0,13,2,30,7,1,0,8,4,30,8,5,0,13,0,30,5,8,0,13,0,30,7,2,0,9,1,-15,3,1
2,3,19,0,30,5,8,0,13,2,30,7,1,0,8,4,30,8,5,0,13,0,30,5,8,0,13,0,30,7,2,0,9,1,-15,3,1
2,4,19,0,30,5,8,0,13,2,30,7,1,0,8,4,30,8,5,0,13,0,30,5,8,0,13,0,30,7,2,0,9,1,-15,3,1
2,4,22,1,30,6,2,0,8,2,30,2,0,0,2,0,30,4,4,0,8,1,30,1,7,0,8,1,30,2,2,0,4,1,-15,3,1
2,4,23,1,30,2,11,0,13,1,30,6,0,0,6,7,30,12,1,0,13,2,30,5,8,0,13,0,30,6,0,0,6,1,-15,3,1
2,1,27,1,30,4,11,0,15,4,30,1,1,0,2,0,30,5,10,0,15,4,30,4,11,0,15,1,30,6,0,0,6,1,-15,3,1
2,2,27,1,30,4,11,0,15,4,30,1,1,0,2,0,30,5,10,0,15,4,30,4,11,0,15,1,30,6,0,0,6,1,-15,3,1
2,0,29,0,30,6,8,0,14,5,30,10,2,0,12,0,30,5,9,0,14,0,30,0,14,0,14,3,30,9,0,0,9,1,-15,3,1
2,4,29,0,30,6,8,0,14,5,30,10,2,0,12,0,30,5,9,0,14,0,30,0,14,0,14,3,30,9,0,0,9,1,-15,3,1
2,4,43,0,30,7,7,0,14,6,30,6,0,0,6,0,30,4,10,0,14,1,30,3,11,0,14,3,30,5,0,0,5,1,-15,3,1
2,1,5,0,30,2,3,0,5,3,30,0,4,0,4,0,30,0,5,0,5,2,30,2,3,0,5,0,30,2,0,0,2,0,-27,3,0
2,3,5,0,30,2,3,0,5,3,30,0,4,0,4,0,30,0,5,0,5,2,30,2,3,0,5,0,30,2,0,0,2,0,-27,3,0
