0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2,3,35,0,30,4,0,0,4,11,30,0,0,0,0,2,30,0,4,0,4,0,30,1,3,0,4,0,30,1,2,0,3,1,-15,3,1,1059
2,2,36,0,30,3,6,0,9,13,30,2,0,0,2,2,30,8,1,0,9,7,30,2,7,0,9,4,30,3,0,0,3,1,-15,3,1,1099
2,0,37,1,30,6,5,0,11,4,30,3,5,0,8,0,30,1,10,0,11,0,30,5,6,0,11,8,30,6,0,0,6,1,-15,3,1,1139
2,3,37,1,30,6,5,0,11,0,30,3,5,0,8,0,30,1,10,0,11,0,30,5,6,0,11,8,30,6,0,0,6,1,-15,3,1,1139
2,0,39,0,30,0,4,0,4,3,30,2,0,0,2,0,30,1,3,0,4,2,30,2,2,0,4,13,30,1,0,0,1,1,-15,3,1,1179
2,2,39,0,30,3,8,0,11,0,30,5,1,0,6,0,30,3,8,0,11,0,30,6,5,0,11,14,30,5,0,0,5,1,-15,3,1,1199
2,0,40,2,30,6,3,0,9,4,30,2,0,0,2,0,30,0,9,0,9,0,30,3,6,0,9,14,30,3,0,0,3,1,-15,3,1,1219
2,1,41,1,30,2,0,0,2,3,30,0,0,0,0,0,30,2,0,0,2,1,30,1,1,0,2,10,30,0,0,0,0,1,-15,3,1,1239
2,0,41,1,30,8,4,0,12,4,30,5,3,0,8,0,30,2,10,0,12,0,30,7,5,0,12,11,30,7,0,0,7,1,-15,3,1,1259
2,3,35,0,30,4,0,0,4,9,30,0,0,0,0,0,30,0,4,0,4,0,30,4,0,0,4,0,30,2,1,0,3,1,-15,3,1,1059
2,0,37,1,30,6,5,0,11,9,30,8,0,0,8,0,30,2,9,0,11,0,30,4,7,0,11,13,30,6,0,0,6,1,-15,3,1,1139
2,3,38,0,30,4,6,0,10,5,30,6,0,0,6,0,30,1,9,0,10,0,30,0,10,0,10,13,30,6,0,0,6,1,-15,3,1,1159
2,2,39,0,30,0,4,0,4,7,30,2,0,0,2,0,30,1,3,0,4,0,30,1,3,0,4,14,30,1,0,0,1,1,-15,3,1,1179
2,3,40,0,30,3,6,0,9,0,30,2,0,0,2,5,30,3,6,0,9,0,30,4,5,0,9,15,30,3,0,0,3,1,-15,3,1,1219
2,0,35,1,30,3,1,0,4,11,30,0,0,0,0,4,30,4,0,0,4,0,30,3,1,0,4,0,30,2,1,0,3,1,-15,3,1,1059
2,4,35,1,30,3,1,0,4,5,30,0,0,0,0,4,30,4,0,0,4,0,30,3,1,0,4,0,30,2,1,0,3,1,-15,3,1,1059
2,3,38,0,30,7,3,0,10,0,30,4,2,0,6,0,30,1,9,0,10,0,30,2,8,0,10,12,30,6,0,0,6,1,-15,3,1,1159
2,1,39,0,30,1,3,0,4,3,30,2,0,0,2,0,30,1,3,0,4,0,30,1,3,0,4,17,30,1,0,0,1,1,-15,3,1,1179
2,3,39,0,30,1,3,0,4,0,30,2,0,0,2,0,30,1,3,0,4,0,30,1,3,0,4,17,30,1,0,0,1,1,-15,3,1,1179
2,0,39,0,30,5,6,0,11,5,30,6,0,0,6,0,30,4,7,0,11,0,30,2,9,0,11,15,30,5,0,0,5,1,-15,3,1,1199
2,0,40,0,30,5,4,0,9,6,30,2,0,0,2,0,30,0,9,0,9,0,30,3,6,0,9,15,30,3,0,0,3,1,-15,3,1,1219
2,1,40,0,30,5,4,0,9,4,30,2,0,0,2,0,30,0,9,0,9,0,30,3,6,0,9,15,30,3,0,0,3,1,-15,3,1,1219
2,4,35,3,30,4,0,0,4,5,30,0,0,0,0,0,30,0,4,0,4,0,30,2,2,0,4,0,30,1,2,0,3,1,-15,3,1,1059
2,0,37,2,30,1,3,0,4,15,30,0,0,0,0,1,30,1,3,0,4,0,30,4,0,0,4,7,30,1,0,0,1,1,-15,3,1,1119
2,3,37,0,30,6,5,0,11,4,30,8,0,0,8,0,30,2,9,0,11,0,30,6,5,0,11,8,30,6,0,0,6,1,-15,3,1,1139
